date,NBR
8/31/1985,-773.0246603
8/31/1986,-791.2056738
8/31/1987,-805.3613054
8/31/1988,-793.1034483
8/31/1989,-847.155586
8/31/1990,-824.9686324
8/31/1991,-828.3723876
8/31/1992,-831.8414322
8/31/1993,-815.7800785
8/31/1994,-822.7670753
8/31/1995,-848.5273492
8/31/1996,-812.9887793
8/31/1997,-79.64173324
8/31/1998,-130.600572
8/31/1999,-365.6612529
8/31/2000,-429.8089172
8/31/2001,-437.1443352
8/31/2002,-526.443474
8/31/2003,-428.4330346
8/31/2004,-574.595843
8/31/2005,-659.2592593
8/31/2006,-676.3253917
8/31/2007,-744.3239926
8/31/2008,-710.9221714
8/31/2009,-733.6671978
8/31/2010,-763.4560907
8/31/2011,-765.8282741
8/31/2012,-786.6235603
8/31/2013,-772.2676938
8/31/2014,-790.1691332
8/31/2015,-774.6055597
8/31/2016,-791.7443409
8/31/2017,-811.8886381
