index,pixel_id,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,longitude,latitude
0,0,0.378782692,0.373561553,0.494891748,0.429027746,0.427996122,0.775137404,0.309415622,0.153046182,0.551367469,0.809039451,0.209042831,0.596938895,0.203638724,0.344621944,0.727862107,0.497816257,0.821359471,0.39917033,0.344207698,0.25400678,0.276507684,0.53069547,0.543800905,0.12719459,0.201052563,0.20442142,0,-0.070840741,-0.166002623,0.310842182,0.851448113,0.457203373,0.260293414,0.644155714,-0.020941444,0.31146799,0.788444618,105.6236865,20.30762972
1,1,0.379525216,0.377765175,0.506709491,0.409403653,0.424838754,0.766170369,0.309675537,0.1518483,0.562286754,0.789243621,0.20187709,0.600199122,0.205342673,0.337087584,0.730655891,0.477524958,0.786955988,0.39450338,0.339048605,0.261954001,0.276057407,0.525256987,0.543036539,0.121590273,0.191118755,0.21697563,0,-0.064118722,-0.175461182,0.327394651,0.860753255,0.465676064,0.264661264,0.640697725,0.320833529,0.30724084,0.853043958,105.623956,20.30762972
2,2,0.378252401,0.383980549,0.501747957,0.418782153,0.406148448,0.770720746,0.314136595,0.150575737,0.533350844,0.782074143,0.204099287,0.596301337,0.211913765,0.339332544,0.728211645,0.471987347,0.790268003,0.429152637,0.331354656,0.25285929,0.258743861,0.513035141,0.526427201,0.125809982,0.18668409,0.168450328,0,-0.07321676,-0.174397852,0.34532223,0.85263449,0.473064621,0.262645755,0.639832617,0.320311621,0.547389164,0.882516211,105.6242255,20.30762972
3,3,0.368192222,0.369025548,0.493184121,0.407567125,0.405114992,0.749138741,0.314381698,0.149454505,0.484129542,0.775163684,0.185571734,0.568202682,0.216694089,0.334237507,0.726606184,0.456495343,0.799663934,0.390049564,0.345489469,0.252542194,0.24369532,0.512720601,0.533598112,0.129117863,0.044120811,0.210977247,0,-0.076142611,-0.174405659,0.379663903,0.86346704,0.468719964,0.254344964,0.621159549,0.319745044,0.591880602,0.795104699,105.624495,20.30762972
4,4,0.377481377,0.381821681,0.501668081,0.414252975,0.400024891,0.770188574,0.319748419,0.151688128,0.499056351,0.766670013,0.183436933,0.560156794,0.208784022,0.340822274,0.704953683,0.478013457,0.804170596,0.397989205,0.365548188,0.340111877,0.241777992,0.531241885,0.537856377,0.1295083,0.051604757,0.056324101,0,-0.081330349,-0.170170093,0.392284436,0.854004905,0.34154751,0.26789432,0.622999263,0.314995834,0.582349647,0.793317275,105.6247645,20.30762972
5,5,0.371268723,0.386604459,0.488523581,0.450740316,0.386400514,0.773311982,0.318976665,0.148340786,0.516919795,0.764920524,0.195288537,0.58868254,0.226560179,0.334319624,0.687542426,0.484108471,0.808979873,0.433508159,0.376123482,0.353024792,0.337423561,0.532039696,0.535454531,0.12765469,0.049327716,-0.09105099,0,-0.08959735,-0.1608881,0.396680532,0.843703084,0.358453794,0.270751831,0.638391087,0.325042893,0.570623481,0.824339613,105.625034,20.30762972
6,6,0.377395531,0.387515551,0.459825669,0.483307338,0.378100344,0.783553923,0.323968576,0.173123066,0.516216564,0.791332514,0.184984425,0.595963865,0.228681152,0.338017554,0.656767857,0.48383139,0.798703442,0.426164921,0.391889836,0.352834642,0.353447892,0.52226394,0.509426187,0.122915204,0.051631184,-0.143906086,0,-0.092640444,-0.282001384,0.47775487,0.829929432,0.354394301,0.264569938,0.628807951,0.329808195,0.54406764,0.843656758,105.6253035,20.30762972
7,7,0.37354532,0.385439681,0.460494032,0.462972459,0.373473138,0.788082129,0.321058993,0.172681966,0.516942993,0.802189592,0.174404281,0.604150186,0.230768523,0.333556298,0.652929025,0.477509342,0.808027568,0.43701681,0.332571299,0.355390528,0.372014527,0.516020458,0.511519933,0.122639198,0.059686785,-0.423352116,0,-0.083822045,-0.294779711,0.502786074,0.865924129,0.342360103,0.258941584,0.625593955,-0.008213116,0.547287378,0.886162321,105.625573,20.30762972
8,8,0.388875382,0.389549943,0.461289909,0.462109433,0.382283875,0.796555615,0.327084807,0.164620361,0.525145813,0.781587691,0.164632572,0.612730572,0.22285621,0.3297263,0.62339666,0.483932179,0.816612863,0.420960855,0.341039138,0.351717531,0.41294228,0.52081731,0.512826289,0.124642108,0.227517109,-0.400146937,0,-0.115320794,-0.091947649,0.417805674,0.840417253,0.346279887,0.273254818,0.62820251,-0.002711198,0.542016655,0.829759076,105.6258425,20.30762972
9,9,0.376255701,0.377689141,0.461544821,0.445147656,0.377083584,0.770499919,0.319465334,0.153704551,0.513056892,0.767024232,0.163673417,0.601677364,0.229516798,0.323730988,0.62286388,0.470237697,0.816190978,0.431107001,0.381617773,0.339050936,0.428012756,0.514984426,0.532712756,0.127980117,0.216295085,-0.382154662,0,-0.209455989,-0.064285124,0.37430391,0.835304205,0.265859889,0.262621175,0.597747734,0.000670865,0.526135213,0.912392093,105.626112,20.30762972
